index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue ,streetAddress         ,unit ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction      ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse     ,shouldHighlight ,videoCount ,lotAreaUnit ,city     ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url ,  28007397 ,2023-08-01   ,FALSE             ,   8908.02   ,4605 Evergreen St     ,     ,       3 ,-95.45609  ,         4422 ,   706100 ,-990        ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.698341 ,$990 (Jul 20)       ,          425258 ,1.68984E+12      ,USA     ,FALSE                   ,        2 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 699000 ,     699000 ,                ,      1520 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       2 ,listing_url ,  28191940 ,2023-08-01   ,FALSE             ,   2200      ,5235 Woodlawn Pl      ,     ,       2 ,-95.4719   ,         2464 ,   298100 ,-20000      ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.712341 ,"$20,000 (Aug 11)"  ,          170000 ,1.69174E+12      ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 299000 ,     299000 ,                ,      1725 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       3 ,listing_url ,  27836015 ,2023-08-01   ,FALSE             ,   5127.012  ,4309 Jane St          ,     ,       4 ,-95.44793  ,         5466 ,   941200 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.703156 ,                    ,          702057 ,                 ,USA     ,FALSE                   ,        4 ,Sun. 2-4pm    ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 939000 ,     939000 ,[object Object] ,      3101 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       4 ,listing_url ,  27836433 ,2023-08-01   ,FALSE             ,   5127.012  ,4338 Effie St         ,     ,       4 ,-95.44894  ,         5076 ,   871000 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.695868 ,                    ,          749258 ,                 ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 869000 ,     869000 ,                ,      3041 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       5 ,listing_url , 123235361 ,2023-08-01   ,FALSE             ,   3371.544  ,5413 Alder Cir        ,     ,       3 ,-95.481445 ,         5545 ,   860500 ,-26000      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.699858 ,"$26,000 (Jul 26)"  ,          858806 ,1.69035E+12      ,USA     ,FALSE                   ,        5 ,Sun. 2-4pm    ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 899000 ,     899000 ,[object Object] ,      3496 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       6 ,listing_url ,  27744979 ,2023-08-01   ,FALSE             ,   7000.092  ,5209 Linden St        ,     ,       4 ,-95.47111  ,         6630 ,   935000 ,-61000      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.704187 ,"$61,000 (Aug 10)"  ,          766260 ,1.69165E+12      ,USA     ,FALSE                   ,        4 ,Sat. 1-3pm    ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 989000 ,     989000 ,[object Object] ,      3239 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       7 ,listing_url ,  27915647 ,2023-08-01   ,FALSE             ,   9112.752  ,4666 Cedar St         ,     ,       4 ,-95.458984 ,         7731 ,  1128400 ,-30000      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.707935 ,"$30,000 (Aug 16)"  ,         1289625 ,1.69217E+12      ,USA     ,FALSE                   ,        4 ,Sat. 1-4pm    ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1195000 ,    1195000 ,[object Object] ,      5120 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       8 ,listing_url ,  27744583 ,2023-08-01   ,FALSE             ,   8398.368  ,4901 Laurel St        ,     ,       4 ,-95.464516 ,         4953 ,   732800 ,-50000      ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.703339 ,                    ,          738000 ,1.6837E+12       ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 799000 ,     799000 ,                ,      3183 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       9 ,listing_url ,  27930163 ,2023-08-01   ,FALSE             ,   6220.368  ,5103 Patrick Henry St ,     ,       5 ,-95.46826  ,         7366 ,  1301700 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.697515 ,                    ,         1021673 ,                 ,USA     ,FALSE                   ,        5 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1315000 ,    1315000 ,                ,      5144 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      10 ,listing_url ,  27917026 ,2023-08-01   ,FALSE             ,   6420.744  ,4612 Beech St         ,     ,       4 ,-95.456894 ,         4648 ,   612900 ,5000        ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77401 ,29.711105 ,                    ,          585295 ,1.65476E+12      ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   , 629888 ,     629888 ,                ,      2079 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
