index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue ,streetAddress             ,unit       ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType         ,isFeatured ,zipcode ,latitude  ,priceReduction     ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse   ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url ,2057629694 ,2023-11-01   ,FALSE             ,   1653.0    ,3313 Saint Emanuel St     ,           ,     3.0 ,-95.3683   ,       3249.0 , 536000.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77004 ,29.734789 ,                   ,                 ,                 ,USA     ,False                   ,        4 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 539999 ,     539999 ,                ,    2210.0 ,[object Object]  ,False         ,False            ,True               ,-1
       2 ,listing_url , 339420642 ,2023-11-01   ,FALSE             ,   1823.0    ,3215 Ennis St #B          ,# B        ,     3.0 ,-95.36021  ,        998.0 ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77004 ,29.730583 ,                   ,         61556.0 ,                 ,USA     ,False                   ,        4 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 429990 ,     429990 ,                ,    2007.0 ,[object Object]  ,False         ,False            ,True               ,-1
       3 ,listing_url ,2054417101 ,2023-11-01   ,FALSE             ,   2073.456  ,3217 Ennis St #B          ,# B        ,     3.0 ,-95.36021  ,              ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77004 ,29.730583 ,                   ,                 ,                 ,USA     ,False                   ,        4 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 414990 ,     414990 ,                ,    1892.0 ,[object Object]  ,False         ,False            ,True               ,-1
       4 ,listing_url , 243978265 ,2023-11-01   ,FALSE             ,   2629.0    ,4117 Chartres St          ,           ,     3.0 ,-95.373245 ,       3499.0 , 475300.0 ,            ,TOWNHOUSE     ,False        ,TX    ,                            ,False      ,  77004 ,29.730192 ,                   ,        542631.0 ,                 ,USA     ,False                   ,        4 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 480000 ,     480000 ,                ,    2632.0 ,[object Object]  ,False         ,False            ,True               ,-1
       5 ,listing_url ,  27850495 ,2023-11-01   ,FALSE             ,   5775.0    ,2413 Isabella St          ,           ,     2.0 ,-95.368256 ,       2535.0 ,          ,-15000.0    ,MULTI_FAMILY  ,False        ,TX    ,                            ,False      ,  77004 ,29.729254 ,"$15,000 (Nov 12)" ,        351985.0 , 1699776000000.0 ,USA     ,False                   ,        1 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 350000 ,     350000 ,                ,    2750.0 ,[object Object]  ,False         ,False            ,True               ,-1
       6 ,listing_url ,  27758768 ,2023-11-01   ,FALSE             ,   1751.112  ,3518 Nagle St             ,           ,     4.0 ,-95.36465  ,       1873.0 ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77004 ,29.73053  ,                   ,        120000.0 ,                 ,USA     ,False                   ,        2 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 350000 ,     350000 ,                ,    1011.0 ,[object Object]  ,False         ,False            ,True               ,-1
       7 ,listing_url ,2054428241 ,2023-11-01   ,FALSE             ,             ,2337 Eagle St             ,           ,     3.0 ,-95.37072  ,              ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77004 ,29.728436 ,                   ,                 ,                 ,USA     ,False                   ,        4 ,Sat. 12-4pm ,False           ,         0 ,            ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 409900 ,     409900 ,[object Object] ,    1778.0 ,[object Object]  ,False         ,False            ,True               ,-1
       8 ,listing_url ,  97605624 ,2023-11-01   ,FALSE             ,   2208.492  ,2453 Wentworth St         ,           ,     2.0 ,-95.37229  ,       2364.0 , 332800.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77004 ,29.724108 ,                   ,        312196.0 ,                 ,USA     ,False                   ,        2 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 337500 ,     337500 ,                ,    1810.0 ,[object Object]  ,False         ,False            ,True               ,-1
       9 ,listing_url ,  58678721 ,2023-11-01   ,FALSE             ,   1406.0    ,2811 Crawford St          ,           ,     2.0 ,-95.37001  ,       2500.0 , 382000.0 ,            ,TOWNHOUSE     ,False        ,TX    ,                            ,False      ,  77004 ,29.740503 ,                   ,        342339.0 ,                 ,USA     ,False                   ,        2 ,            ,False           ,         0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 385000 ,     385000 ,                ,    1928.0 ,[object Object]  ,False         ,False            ,True               ,-1
      10 ,listing_url ,2055796285 ,2023-11-01   ,FALSE             ,             ,2607 Jackson St           ,           ,     3.0 ,-95.36813  ,       2795.0 , 548200.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77004 ,29.740894 ,                   ,                 ,                 ,USA     ,False                   ,        4 ,            ,False           ,         0 ,            ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 549990 ,     549990 ,                ,    2080.0 ,[object Object]  ,False         ,False            ,True               ,-1
