index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue           ,streetAddress           ,unit   ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType         ,isFeatured ,zipcode ,latitude  ,priceReduction     ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url ,  27935930 ,2023-11-01   ,FALSE             , 6481.728              ,3830 Cosby St           ,       ,     4.0 ,-95.36082  ,       1800.0 , 195900.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.697294 ,                   ,        170795.0 ,                 ,USA     ,False                   ,        2 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 199500 ,     199500 ,                ,    1898.0 ,[object Object]  ,False         ,False            ,True               ,-1
       2 ,listing_url ,  27892186 ,2023-11-01   ,FALSE             , 7901.784              ,4931 Eppes St           ,       ,     3.0 ,-95.34034  ,       2129.0 , 326000.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.70047  ,                   ,        328316.0 ,                 ,USA     ,False                   ,        3 ,          ,False           ,       1.0 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 329900 ,     329900 ,                ,    1888.0 ,[object Object]  ,False         ,False            ,True               ,-1
       3 ,listing_url , 338063427 ,2023-11-01   ,FALSE             , 2374.02               ,6743 Calhoun Rd         ,       ,     3.0 ,-95.35026  ,       2800.0 , 433800.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.688684 ,                   ,        381583.0 ,                 ,USA     ,False                   ,        4 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 439000 ,     439000 ,                ,    2044.0 ,[object Object]  ,False         ,False            ,True               ,-1
       4 ,listing_url ,  27940237 ,2023-11-01   ,FALSE             , 7200.468              ,5511 Beekman Rd         ,       ,     3.0 ,-95.329956 ,       1423.0 , 273900.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.699171 ,                   ,        174945.0 ,                 ,USA     ,False                   ,        2 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 279000 ,     279000 ,                ,    1266.0 ,[object Object]  ,False         ,False            ,True               ,-1
       5 ,listing_url ,2054450250 ,2023-11-01   ,FALSE             , 2500.344              ,3511 Goodhope St #A     ,# A    ,     3.0 ,-95.37416  ,              ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.68442  ,                   ,                 ,                 ,USA     ,False                   ,        3 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 369000 ,     369000 ,                ,    1979.0 ,[object Object]  ,False         ,False            ,True               ,-1
       6 ,listing_url ,  27922215 ,2023-11-01   ,FALSE             , 2500.0                ,3409 Noah St            ,       ,         ,-95.37648  ,       1394.0 ,          ,            ,LOT           ,False        ,TX    ,                            ,False      ,  77021 ,29.687433 ,                   ,        100000.0 ,                 ,USA     ,False                   ,        0 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,  70000 ,      70000 ,                ,           ,[object Object]  ,False         ,False            ,True               ,-1
       7 ,listing_url ,  27921805 ,2023-11-01   ,FALSE             , 6210.0                ,3828 Noah St            ,       ,         ,-95.36677  ,       1829.0 , 619600.0 ,            ,MULTI_FAMILY  ,False        ,TX    ,NEW_CONSTRUCTION_TYPE_OTHER ,False      ,  77021 ,29.683939 ,                   ,        105000.0 ,                 ,USA     ,False                   ,        0 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 629995 ,     629995 ,                ,    3149.0 ,[object Object]  ,False         ,False            ,True               ,-1
       8 ,listing_url ,  27950522 ,2023-11-01   ,FALSE             , 7191.756              ,3714 Cosby St           ,       ,     3.0 ,-95.36344  ,       1849.0 , 207500.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.698103 ,                   ,        165201.0 ,                 ,USA     ,False                   ,        2 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 214500 ,     214500 ,                ,    1304.0 ,[object Object]  ,False         ,False            ,True               ,-1
       9 ,listing_url ,  27951752 ,2023-11-01   ,FALSE             , 6599.34               ,4915 Balkin St          ,       ,     3.0 ,-95.344925 ,       1350.0 , 123900.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.69212  ,                   ,        116097.0 ,                 ,USA     ,False                   ,        1 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 129900 ,     129900 ,                ,    1037.0 ,[object Object]  ,False         ,False            ,True               ,-1
      10 ,listing_url ,  27889935 ,2023-11-01   ,FALSE             , 6782.292              ,4511 Keystone St        ,       ,     2.0 ,-95.34908  ,       1300.0 , 208300.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                            ,False      ,  77021 ,29.697453 ,                   ,        131551.0 ,                 ,USA     ,False                   ,        1 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 215000 ,     215000 ,                ,     756.0 ,[object Object]  ,False         ,False            ,True               ,-1
      11 ,listing_url ,  97625411 ,2023-11-01   ,FALSE             , 5501.628              ,3239 Tampa St           ,       ,         ,-95.37298  ,       1146.0 ,          ,            ,LOT           ,False        ,TX    ,                            ,False      ,  77021 ,29.706245 ,                   ,        154000.0 ,                 ,USA     ,False                   ,        0 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 195000 ,     195000 ,                ,           ,[object Object]  ,False         ,False            ,True               ,-1
      12 ,listing_url ,2057005841 ,2023-11-01   ,FALSE             , 2500.0                ,3509 Goodhope St #B     ,# B    ,     3.0 ,-95.37429  ,       2900.0 , 366100.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,BUILDER_SPEC                ,False      ,  77021 ,29.684465 ,                   ,                 ,                 ,USA     ,False                   ,        3 ,          ,False           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   , 369000 ,     369000 ,                ,    1893.0 ,[object Object]  ,False         ,False            ,True               ,-1
