index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue           ,streetAddress         ,unit ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction     ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse  ,shouldHighlight ,videoCount ,lotAreaUnit ,city     ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url ,  27945938 ,2023-11-01   ,FALSE             , 7474.896              ,4615 Mimosa Dr        ,     ,     4.0 ,-95.45693  ,         5276 , 943500.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.690294 ,                   ,        889465.0 ,                 ,USA     ,False                   ,        4 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,950000  ,     950000 ,                ,    3617.0 ,[object Object]  ,False         ,False            ,True               ,-1
       2 ,listing_url ,  27819026 ,2023-11-01   ,FALSE             ,    0.2673             ,4511 Teas St          ,     ,     4.0 ,-95.452675 ,         8603 ,1188100.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.704313 ,                   ,       1478888.0 ,                 ,USA     ,False                   ,        6 ,Sun. 2-4pm ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1199000 ,    1199000 ,[object Object] ,    5760.0 ,[object Object]  ,False         ,False            ,True               ,-1
       3 ,listing_url ,  27836067 ,2023-11-01   ,FALSE             , 5127.012              ,4306 Jonathan St      ,     ,     2.0 ,-95.44791  ,         2194 , 401700.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.702187 ,                   ,        306000.0 ,                 ,USA     ,False                   ,        1 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,410000  ,     410000 ,                ,    1112.0 ,[object Object]  ,False         ,False            ,True               ,-1
       4 ,listing_url ,  27967617 ,2023-11-01   ,FALSE             ,10798.524              ,804 Atwell St         ,     ,     4.0 ,-95.48211  ,         4323 , 755800.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.697706 ,                   ,        683058.0 ,                 ,USA     ,False                   ,        3 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,767999  ,     767999 ,                ,    2384.0 ,[object Object]  ,False         ,False            ,True               ,-1
       5 ,listing_url ,  27835971 ,2023-11-01   ,FALSE             , 6124.536              ,4305 Ione St          ,     ,     4.0 ,-95.44793  ,         2800 , 475900.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.703876 ,                   ,        523623.0 ,                 ,USA     ,False                   ,        3 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,495000  ,     495000 ,                ,    1754.0 ,[object Object]  ,False         ,False            ,True               ,-1
       6 ,listing_url ,  27877890 ,2023-11-01   ,FALSE             ,    0.47               ,5417 Holly St         ,     ,     1.0 ,-95.48321  ,         4772 , 991500.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.69198  ,                   ,        951359.0 ,                 ,USA     ,False                   ,        0 ,           ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,999000  ,     999000 ,                ,           ,[object Object]  ,False         ,False            ,True               ,-1
       7 ,listing_url ,  27945901 ,2023-11-01   ,FALSE             , 7344.216              ,4624 Mimosa Dr        ,     ,     3.0 ,-95.45794  ,         2093 ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.690722 ,                   ,        498103.0 ,                 ,USA     ,False                   ,        2 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,750000  ,     750000 ,                ,    2000.0 ,[object Object]  ,False         ,False            ,True               ,-1
       8 ,listing_url ,  27877856 ,2023-11-01   ,FALSE             ,    0.47               ,5304 Holly St         ,     ,     5.0 ,-95.477104 ,         6615 ,1050300.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.692593 ,                   ,        970782.0 ,                 ,USA     ,False                   ,        4 ,           ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1100000 ,    1100000 ,                ,    3315.0 ,[object Object]  ,False         ,False            ,True               ,-1
       9 ,listing_url ,  27877849 ,2023-11-01   ,FALSE             ,    0.47               ,5318 Holly St         ,     ,     5.0 ,-95.47938  ,        13374 ,2761600.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.692657 ,                   ,       2524529.0 ,                 ,USA     ,False                   ,        9 ,           ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,2895000 ,    2895000 ,                ,    8538.0 ,[object Object]  ,False         ,False            ,True               ,-1
      10 ,listing_url ,  27983253 ,2023-11-01   ,FALSE             ,    0.3926             ,5228 Maple St         ,     ,     4.0 ,-95.475784 ,         4483 , 722700.0 ,-15000.0    ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.691227 ,                   ,        644355.0 , 1684393200000.0 ,USA     ,False                   ,        4 ,           ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,-760000 ,     760000 ,                ,    2863.0 ,[object Object]  ,False         ,False            ,True               ,-1
      11 ,listing_url ,  27948433 ,2023-11-01   ,FALSE             , 9239.076              ,4905 Wedgewood Dr     ,     ,     4.0 ,-95.464554 ,         6702 ,          ,-50000.0    ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.715014 ,"$50,000 (Nov 6)"  ,       1167036.0 , 1699257600000.0 ,USA     ,False                   ,        5 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1249000 ,    1249000 ,                ,    3750.0 ,[object Object]  ,False         ,False            ,True               ,-1
      12 ,listing_url ,  27906320 ,2023-11-01   ,FALSE             , 8820.9                ,544 S 3rd St          ,     ,     2.0 ,-95.46695  ,         1900 ,          ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.699148 ,                   ,        483619.0 ,                 ,USA     ,False                   ,        1 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,750000  ,     750000 ,                ,    1173.0 ,[object Object]  ,False         ,False            ,True               ,-1
      13 ,listing_url ,  27967619 ,2023-11-01   ,FALSE             ,10798.524              ,808 Atwell St         ,     ,     3.0 ,-95.482185 ,         4110 , 635900.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.697256 ,                   ,        436483.0 ,                 ,USA     ,False                   ,        2 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,675000  ,     675000 ,                ,    1639.0 ,[object Object]  ,False         ,False            ,True               ,-1
      14 ,listing_url ,  27877680 ,2023-11-01   ,FALSE             ,    0.4131999999999999 ,5100 Pine St          ,     ,     3.0 ,-95.46809  ,         5741 , 891300.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.695166 ,                   ,        863751.0 ,                 ,USA     ,False                   ,        2 ,           ,False           ,         0 ,acres       ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,959000  ,     959000 ,                ,    2192.0 ,[object Object]  ,False         ,False            ,True               ,-1
      15 ,listing_url ,  27836107 ,2023-11-01   ,FALSE             , 5125.0                ,4318 Oleander St      ,     ,     4.0 ,-95.4484   ,         7518 ,1165600.0 ,            ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.701534 ,                   ,       1203281.0 ,                 ,USA     ,False                   ,        4 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1250000 ,    1250000 ,                ,    3805.0 ,[object Object]  ,False         ,False            ,True               ,-1
      16 ,listing_url ,  27947865 ,2023-11-01   ,FALSE             , 9099.684              ,4911 Holly St         ,     ,     4.0 ,-95.46431  ,        12034 ,1854600.0 ,-76000.0    ,SINGLE_FAMILY ,False        ,TX    ,                    ,False      ,  77401 ,29.692738 ,"$76,000 (Oct 20)" ,       2109716.0 , 1697785200000.0 ,USA     ,False                   ,        6 ,           ,False           ,         0 ,sqft        ,Bellaire ,FOR_SALE         ,USD      ,FOR_SALE   ,1999000 ,    1999000 ,                ,    6398.0 ,[object Object]  ,False         ,False            ,True               ,-1
