index_id,result_from,creationDate,daysOnZillow,isPreforeclosureAuction,lotAreaValue,latitude,unit,livingArea,streetAddress,shouldHighlight,isNonOwnerOccupied,longitude,price,isFeatured,priceChange,group_type,providerListingID,listing_sub_type,rentZestimate,newConstructionType,homeStatusForHDP,zpid,currency,isUnmappable,isShowcaseListing,bathrooms,priceReduction,state,homeStatus,bedrooms,taxAssessedValue,city,zipcode,isPremierBuilder,lotAreaUnit,priceForHDP,homeType,country,datePriceChanged,isZillowOwned,zestimate,timeOnZillow,priceSuffix
1,listing_url,2024-04-30,40,false,3049.2,42.36032,,1194,6200 15th St,false,true,-83.09473,275000,false,-10000,,,[object Object],1694,,FOR_SALE,88631886,USD,false,false,2,"$10,000 (Apr 15)",MI,FOR_SALE,2,7100,Detroit,48208,false,sqft,275000,SINGLE_FAMILY,USA,1713164400000,false,262600,3536771000,
2,listing_url,2024-04-30,4,false,3920.4,42.352585,,2100,5618 Missouri St,false,true,-83.096176,8300,false,,,,[object Object],1209,,FOR_SALE,88532615,USD,false,false,1,,MI,FOR_SALE,3,14600,Detroit,48208,false,sqft,8300,SINGLE_FAMILY,USA,,false,,356616000,
3,listing_url,2024-04-30,0,false,5227.2,42.352436,,4090,5029 Trumbull St,false,true,-83.0792,595000,false,,,,[object Object],4312,,FOR_SALE,304780966,USD,false,false,3,,MI,FOR_SALE,,61300,Detroit,48208,false,sqft,595000,MULTI_FAMILY,USA,,false,621900,80771000,
4,listing_url,2024-04-30,4,false,4791.6,42.34375,,576,4751 Tillman St,false,true,-83.09726,7000,false,,,,[object Object],1280,,FOR_SALE,88323066,USD,false,false,1,,MI,FOR_SALE,2,3700,Detroit,48208,false,sqft,7000,SINGLE_FAMILY,USA,,false,,356588000,
5,listing_url,2024-04-30,3,false,0.33999999999999997,42.34803,,884,2933 Putnam St,false,true,-83.09561,80000,false,,,,[object Object],1694,,FOR_SALE,98032028,USD,false,false,1,,MI,FOR_SALE,2,19600,Detroit,48208,false,acres,80000,SINGLE_FAMILY,USA,,false,,339971000,
6,listing_url,2024-04-30,176,false,3484.8,42.344246,,1101,3418 W Hancock St,false,true,-83.099236,9375,false,-65625,,,[object Object],1294,,FOR_SALE,88549695,USD,false,false,1,,MI,FOR_SALE,2,17800,Detroit,48208,false,sqft,9375,SINGLE_FAMILY,USA,1705651200000,false,,15287171000,
7,listing_url,2024-04-30,659,false,0.3,42.343174,,1906,3998 15th St,false,true,-83.08419,200000,false,-50000,,,[object Object],2749,,FOR_SALE,88222123,USD,false,false,3,,MI,FOR_SALE,6,29700,Detroit,48208,false,acres,200000,SINGLE_FAMILY,USA,1675238400000,false,,57018371000,
8,listing_url,2024-04-30,12,false,,42.352936,Unit 4,1331,1813 Merrick St UNIT 4,false,true,-83.08312,359590,false,,,29552886,[object Object],2995,BUILDER_SPEC,FOR_SALE,345170247,USD,false,false,3,,MI,FOR_SALE,2,,Detroit,48208,true,,359590,TOWNHOUSE,USA,,false,357000,1117571000,
9,listing_url,2024-04-30,43,false,4791.6,42.358143,,924,6150 Linwood St,false,true,-83.09744,22900,false,,,,[object Object],1200,,FOR_SALE,88352693,USD,false,false,1,,MI,FOR_SALE,3,7200,Detroit,48208,false,sqft,22900,SINGLE_FAMILY,USA,,false,,3795971000,
10,listing_url,2024-04-30,162,false,5227.2,42.350266,,2794,4727 Trumbull St,false,true,-83.077995,690000,false,-5000,,,[object Object],4458,,FOR_SALE,88624043,USD,false,false,6,"$5,000 (Feb 2)",MI,FOR_SALE,,95000,Detroit,48208,false,sqft,690000,MULTI_FAMILY,USA,1706860800000,false,645700,14077571000,
11,listing_url,2024-04-30,88,false,,42.339584,,1179,3309 Cochrane St,false,true,-83.074234,385000,false,,,,[object Object],2625,NEW_CONSTRUCTION_TYPE_OTHER,FOR_SALE,2062475775,USD,false,false,3,,MI,FOR_SALE,2,,Detroit,48208,false,,385000,TOWNHOUSE,USA,,false,381300,7683971000,
12,listing_url,2024-04-30,505,false,3049.2,42.33829,,2068,3368 15th St,false,true,-83.08138,47000,false,,,,[object Object],1200,,FOR_SALE,88537933,USD,false,false,2,,MI,FOR_SALE,,5600,Detroit,48208,false,sqft,47000,MULTI_FAMILY,USA,,false,,43712771000,
13,listing_url,2024-04-30,53,false,3484.8,42.35847,,1160,6080 16th St,false,true,-83.094376,115000,false,-2500,,,[object Object],1394,,FOR_SALE,88319682,USD,false,false,1,"$2,500 (Apr 25)",MI,FOR_SALE,3,7816,Detroit,48208,false,sqft,115000,SINGLE_FAMILY,USA,1714028400000,false,104800,4659971000,
14,listing_url,2024-04-30,83,false,3049.2,42.34382,,2300,3677 Lincoln St,false,true,-83.07289,699500,false,,,,[object Object],4672,,FOR_SALE,88175344,USD,false,false,3,,MI,FOR_SALE,4,58000,Detroit,48208,false,sqft,699500,SINGLE_FAMILY,USA,,false,676800,7251971000,
15,listing_url,2024-04-30,29,false,0.45999999999999996,42.349747,,39160,1740 W Grand Blvd,false,true,-83.11106,695000,false,,,,[object Object],4592,,FOR_SALE,2110679486,USD,false,false,65,,MI,FOR_SALE,,,Detroit,48208,false,acres,695000,MULTI_FAMILY,USA,,false,689300,2586371000,
16,listing_url,2024-04-30,29,false,0.38,42.359066,,24255,3931-51 McGraw Ave,false,true,-83.088455,650000,false,,,,[object Object],1344,,FOR_SALE,2067012837,USD,false,false,27,,MI,FOR_SALE,,,Detroit,48208,false,acres,650000,MULTI_FAMILY,USA,,false,647900,2586371000,
17,listing_url,2024-04-30,4,false,4356,42.33759,,1150,3722 Tillman St,false,true,-83.09288,150000,false,,,,[object Object],1400,,FOR_SALE,88536279,USD,false,false,1,,MI,FOR_SALE,4,42100,Detroit,48208,false,sqft,150000,SINGLE_FAMILY,USA,,false,148700,356633000,
18,listing_url,2024-04-30,505,false,9147.6,42.342655,,1565,4226 18th St,false,true,-83.08793,60000,false,,,,[object Object],2199,,FOR_SALE,88081298,USD,false,false,2,,MI,FOR_SALE,3,24800,Detroit,48208,false,sqft,60000,SINGLE_FAMILY,USA,,false,,43712771000,
