index_id ,result_from ,creationDate ,daysOnZillow ,isPreforeclosureAuction ,lotAreaValue ,latitude  ,unit   ,livingArea ,streetAddress             ,shouldHighlight ,isNonOwnerOccupied ,longitude  ,price   ,isFeatured ,priceChange ,listing_sub_type ,rentZestimate ,newConstructionType         ,homeStatusForHDP ,zpid       ,currency ,isUnmappable ,isShowcaseListing ,bathrooms ,open_house_info ,priceReduction     ,state ,homeStatus ,openHouse   ,bedrooms ,taxAssessedValue ,city    ,zipcode ,isPremierBuilder ,lotAreaUnit ,priceForHDP ,homeType      ,country ,datePriceChanged ,isZillowOwned ,zestimate ,timeOnZillow
       1 ,listing_url ,2024-04-30   ,          61 ,false                   ,   5000.688  ,29.695759 ,       ,      1566 ,6113 Grace Ln             ,false           ,true               ,-95.34358  , 230000 ,false      ,            ,[object Object]  ,         2050 ,BUILDER_SPEC                ,FOR_SALE         ,  97669017 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,           15000 ,Houston ,  77021 ,false            ,sqft        ,     230000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   230100 ,  5277217000
       2 ,listing_url ,2024-04-30   ,           0 ,false                   ,   4098.996  ,29.684292 ,       ,      1357 ,3806 Noah St              ,false           ,true               ,-95.3678   , 229999 ,false      ,            ,[object Object]  ,         1700 ,                            ,FOR_SALE         ,  27921800 ,USD      ,false        ,false             ,        1 ,[object Object] ,                   ,TX    ,FOR_SALE   ,Sun. 12-2pm ,       3 ,          147877 ,Houston ,  77021 ,false            ,sqft        ,     229999 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   228200 ,     9078000
       3 ,listing_url ,2024-04-30   ,           1 ,false                   ,      0.2944 ,29.70604  ,       ,      3831 ,3371 Ozark St             ,false           ,true               ,-95.368866 ,1600000 ,false      ,            ,[object Object]  ,         1464 ,BUILDER_SPEC                ,FOR_SALE         ,  27849493 ,USD      ,false        ,false             ,        5 ,                ,                   ,TX    ,FOR_SALE   ,            ,       4 ,          303909 ,Houston ,  77021 ,false            ,acres       ,    1600000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   340400 ,    95828000
       4 ,listing_url ,2024-04-30   ,           1 ,false                   ,   5000.688  ,29.692574 ,       ,           ,6531 London St            ,false           ,true               ,-95.35118  , 125000 ,false      ,            ,[object Object]  ,         1500 ,                            ,FOR_SALE         ,  68407263 ,USD      ,false        ,false             ,        0 ,                ,                   ,TX    ,FOR_SALE   ,            ,         ,          240000 ,Houston ,  77021 ,false            ,sqft        ,     125000 ,LOT           ,USA     ,                 ,false         ,   180800 ,   109177000
       5 ,listing_url ,2024-04-30   ,          14 ,false                   ,   6198.588  ,29.706013 ,       ,      2024 ,3357 Ozark St             ,false           ,true               ,-95.370094 , 399900 ,false      ,            ,[object Object]  ,         2500 ,                            ,FOR_SALE         ,  27849479 ,USD      ,false        ,false             ,        3 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          261402 ,Houston ,  77021 ,false            ,sqft        ,     399900 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   382500 ,  1294852000
       6 ,listing_url ,2024-04-30   ,          75 ,false                   ,             ,29.68647  ,# B    ,      2205 ,6835 Weston St #B         ,false           ,true               ,-95.34784  , 449900 ,false      ,-15000      ,[object Object]  ,         2790 ,NEW_CONSTRUCTION_TYPE_OTHER ,FOR_SALE         ,2053971159 ,USD      ,false        ,false             ,        3 ,                ,"$15,000 (Apr 26)" ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,            ,     449900 ,MULTI_FAMILY  ,USA     ,   1714114800000 ,false         ,   464100 ,  6492477000
       7 ,listing_url ,2024-04-30   ,           1 ,false                   ,   7078.5    ,29.686308 ,       ,           ,5010 Idaho St             ,false           ,true               ,-95.34595  , 177000 ,false      ,70800       ,[object Object]  ,         2526 ,                            ,FOR_SALE         ,  27952017 ,USD      ,false        ,false             ,        0 ,                ,                   ,TX    ,FOR_SALE   ,            ,         ,           85020 ,Houston ,  77021 ,false            ,sqft        ,     177000 ,LOT           ,USA     ,   1714374000000 ,false         ,          ,   104870000
       8 ,listing_url ,2024-04-30   ,           1 ,false                   ,   6899.904  ,29.687443 ,       ,           ,4902 Ward St              ,false           ,true               ,-95.34732  , 172500 ,false      ,            ,[object Object]  ,         2526 ,                            ,FOR_SALE         ,  27951981 ,USD      ,false        ,false             ,        0 ,                ,                   ,TX    ,FOR_SALE   ,            ,         ,           83850 ,Houston ,  77021 ,false            ,sqft        ,     172500 ,LOT           ,USA     ,                 ,false         ,          ,   107259000
       9 ,listing_url ,2024-04-30   ,           5 ,false                   ,   6473.016  ,29.689001 ,       ,      1079 ,3906 Southlawn St         ,false           ,true               ,-95.36309  , 107000 ,false      ,            ,[object Object]  ,         1500 ,                            ,FOR_SALE         ,  27893766 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          154992 ,Houston ,  77021 ,false            ,sqft        ,     107000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,          ,   503817000
      10 ,listing_url ,2024-04-30   ,          48 ,false                   ,   1711.908  ,29.692163 ,       ,      2050 ,6725 Saint Augustine St   ,false           ,true               ,-95.358505 , 359999 ,false      ,            ,[object Object]  ,         2999 ,                            ,FOR_SALE         , 305342155 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          393533 ,Houston ,  77021 ,false            ,sqft        ,     359999 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   342800 ,  4164732000
      11 ,listing_url ,2024-04-30   ,           4 ,false                   ,   3001.284  ,29.68774  ,       ,      2187 ,3616 Corder St            ,false           ,true               ,-95.369835 , 475000 ,false      ,-4999       ,[object Object]  ,         2999 ,BUILDER_SPEC                ,FOR_SALE         ,  97646542 ,USD      ,false        ,false             ,        3 ,[object Object] ,"$4,999 (Apr 26)"  ,TX    ,FOR_SALE   ,Sat. 12-3pm ,       4 ,          191957 ,Houston ,  77021 ,false            ,sqft        ,     475000 ,SINGLE_FAMILY ,USA     ,   1714114800000 ,false         ,   469900 ,   412119000
      12 ,listing_url ,2024-04-30   ,          50 ,false                   ,   5148.792  ,29.693249 ,       ,      1439 ,6607 Conley St            ,false           ,true               ,-95.35709  , 210000 ,false      ,-4999       ,[object Object]  ,         1800 ,                            ,FOR_SALE         ,  27779259 ,USD      ,false        ,false             ,        2 ,                ,"$4,999 (Apr 8)"   ,TX    ,FOR_SALE   ,            ,       4 ,          181096 ,Houston ,  77021 ,false            ,sqft        ,     210000 ,SINGLE_FAMILY ,USA     ,   1712559600000 ,false         ,   192400 ,  4335784000
      13 ,listing_url ,2024-04-30   ,           3 ,false                   ,   6599.34   ,29.689644 ,       ,      1610 ,5003 Gren St              ,false           ,true               ,-95.34475  , 289999 ,false      ,            ,[object Object]  ,         1395 ,                            ,FOR_SALE         ,  27951659 ,USD      ,false        ,false             ,        2 ,[object Object] ,                   ,TX    ,FOR_SALE   ,Sat. 2-5pm  ,       3 ,          161973 ,Houston ,  77021 ,false            ,sqft        ,     289999 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   287400 ,   262014000
      14 ,listing_url ,2024-04-30   ,           6 ,false                   ,      1.0663 ,29.681576 ,# 403  ,      1501 ,7650 Springhill St #403   ,false           ,true               ,-95.37691  , 235000 ,false      ,5000        ,[object Object]  ,         1884 ,                            ,FOR_SALE         ,  89636001 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       2 ,          227122 ,Houston ,  77021 ,false            ,acres       ,     235000 ,CONDO         ,USA     ,   1713942000000 ,false         ,   231700 ,   522281000
      15 ,listing_url ,2024-04-30   ,          20 ,false                   ,   2273.832  ,29.702616 ,       ,      1901 ,6326 Culberson St         ,false           ,true               ,-95.3676   , 385000 ,false      ,            ,[object Object]  ,         2752 ,                            ,FOR_SALE         , 249895892 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          394160 ,Houston ,  77021 ,false            ,sqft        ,     385000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   372100 ,  1749869000
      16 ,listing_url ,2024-04-30   ,          12 ,false                   ,   5510.34   ,29.70575  ,       ,      1735 ,3547 Charleston St        ,false           ,true               ,-95.363754 , 415000 ,false      ,            ,[object Object]  ,         1975 ,                            ,FOR_SALE         ,  27920343 ,USD      ,false        ,false             ,        2 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          259812 ,Houston ,  77021 ,false            ,sqft        ,     415000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   402400 ,  1068027000
      17 ,listing_url ,2024-04-30   ,           5 ,false                   ,   1498.464  ,29.689594 ,       ,      1800 ,3620 Lehall Ave           ,false           ,true               ,-95.36892  , 389000 ,false      ,-11000      ,[object Object]  ,         2700 ,BUILDER_SPEC                ,FOR_SALE         ,2053153046 ,USD      ,false        ,false             ,        3 ,                ,"$11,000 (Apr 11)" ,TX    ,FOR_SALE   ,            ,       3 ,                 ,Houston ,  77021 ,false            ,sqft        ,     389000 ,SINGLE_FAMILY ,USA     ,   1712818800000 ,false         ,   386700 ,   451904000
      18 ,listing_url ,2024-04-30   ,          26 ,false                   ,   6695.172  ,29.701122 ,       ,      1687 ,6609 Burkett St           ,false           ,true               ,-95.36887  , 315000 ,false      ,            ,[object Object]  ,         2328 ,                            ,FOR_SALE         ,  27876753 ,USD      ,false        ,false             ,        3 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          266930 ,Houston ,  77021 ,false            ,sqft        ,     315000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   294700 ,  2276865000
      19 ,listing_url ,2024-04-30   ,          32 ,false                   ,             ,29.685461 ,       ,      1590 ,3818 Mount Pleasant St    ,false           ,true               ,-95.3667   , 295000 ,false      ,            ,[object Object]  ,         2392 ,NEW_CONSTRUCTION_TYPE_OTHER ,FOR_SALE         ,  27922060 ,USD      ,false        ,false             ,        3 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          238813 ,Houston ,  77021 ,false            ,            ,     295000 ,MULTI_FAMILY  ,USA     ,                 ,false         ,   294700 ,  2786338000
      20 ,listing_url ,2024-04-30   ,          11 ,false                   ,   2077.812  ,29.711197 ,       ,      2248 ,2318 Camden Dr            ,false           ,true               ,-95.38177  , 430000 ,false      ,            ,[object Object]  ,         2800 ,                            ,FOR_SALE         ,  80593421 ,USD      ,false        ,false             ,        4 ,                ,                   ,TX    ,FOR_SALE   ,            ,       3 ,          407377 ,Houston ,  77021 ,false            ,sqft        ,     430000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   419100 ,   973038000
