index_id ,result_from ,creationDate ,unit   ,homeStatusForHDP ,zpid       ,priceForHDP ,zipcode ,bathrooms ,state ,country ,homeType      ,streetAddress           ,isNonOwnerOccupied ,isFeatured ,taxAssessedValue ,latitude  ,daysOnZillow ,city    ,isUnmappable ,open_house_info ,livingArea ,longitude   ,listing_sub_type ,price   ,bedrooms ,isPremierBuilder ,lotAreaUnit ,shouldHighlight ,isPreforeclosureAuction ,homeStatus ,lotAreaValue ,isZillowOwned ,isShowcaseListing ,openHouse        ,currency
       1 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314476923 ,    2299900 ,V5J1Y5  ,        3 ,BC    ,CAN     ,SINGLE_FAMILY ,4922 Irmin St           ,true               ,false      ,         1543400 ,49.215385 ,-1           ,Burnaby ,false        ,[object Object] ,      2884 ,-122.993645 ,[object Object]  ,2299900 ,       5 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     6534    ,false         ,false             ,Sat. 2-4pm       ,CAD
       2 ,listing_url ,2024-04-30   ,# 51   ,FOR_SALE         , 344649803 ,     549888 ,V5J0A1  ,        1 ,BC    ,CAN     ,CONDO         ,7388 Macpherson Ave #51 ,true               ,false      ,                 ,49.217224 ,-1           ,Burnaby ,false        ,                ,       613 ,-122.98242  ,[object Object]  , 549888 ,       1 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       3 ,listing_url ,2024-04-30   ,# 22   ,FOR_SALE         , 347824744 ,     829900 ,V5J5K2  ,        2 ,BC    ,CAN     ,TOWNHOUSE     ,7170 Antrim Ave #22     ,true               ,false      ,                 ,49.21843  ,-1           ,Burnaby ,false        ,                ,      1230 ,-122.98454  ,[object Object]  , 829900 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       4 ,listing_url ,2024-04-30   ,# 209  ,FOR_SALE         , 348626979 ,     778000 ,V5J1W8  ,        2 ,BC    ,CAN     ,TOWNHOUSE     ,5155 Watling St #209    ,true               ,false      ,                 ,49.216698 ,-1           ,Burnaby ,false        ,                ,       850 ,-122.989    ,[object Object]  , 778000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       5 ,listing_url ,2024-04-30   ,# 203  ,FOR_SALE         , 347243107 ,     799000 ,V5J0C9  ,        2 ,BC    ,CAN     ,TOWNHOUSE     ,5211 Irmin St #203      ,true               ,false      ,                 ,49.215958 ,-1           ,Burnaby ,false        ,                ,       867 ,-122.98798  ,[object Object]  , 799000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       6 ,listing_url ,2024-04-30   ,# 316  ,FOR_SALE         ,2075321350 ,     999000 ,V5J0E8  ,        3 ,BC    ,CAN     ,TOWNHOUSE     ,7533 Gilley Ave #316    ,true               ,false      ,                 ,          ,-1           ,Burnaby ,false        ,[object Object] ,      1076 ,            ,[object Object]  , 999000 ,       3 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,Sat. 2-4pm       ,CAD
       7 ,listing_url ,2024-04-30   ,# 14   ,FOR_SALE         ,2071926999 ,    1180000 ,V5J1H8  ,        3 ,BC    ,CAN     ,TOWNHOUSE     ,6288 Beresford St #14   ,true               ,false      ,                 ,          ,-1           ,Burnaby ,false        ,                ,      1320 ,            ,[object Object]  ,1180000 ,       3 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       8 ,listing_url ,2024-04-30   ,# 43   ,FOR_SALE         , 342132745 ,     899000 ,V5J4N4  ,        2 ,BC    ,CAN     ,TOWNHOUSE     ,7039 Macpherson Ave #43 ,true               ,false      ,                 ,49.21955  ,-1           ,Burnaby ,false        ,                ,      1065 ,-122.983475 ,[object Object]  , 899000 ,       2 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,        0    ,false         ,false             ,                 ,CAD
       9 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314478308 ,    1749000 ,V5J2S3  ,        3 ,BC    ,CAN     ,SINGLE_FAMILY ,6247 Portland St        ,true               ,false      ,         1258100 ,49.212254 ,-1           ,Burnaby ,false        ,                ,      2571 ,-122.97262  ,[object Object]  ,1749000 ,       6 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     4356    ,false         ,false             ,                 ,CAD
      10 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314489698 ,    1999800 ,V5J4Z1  ,        4 ,BC    ,CAN     ,SINGLE_FAMILY ,8555 Gilley Ave         ,true               ,false      ,         1284000 ,49.207054 ,-1           ,Burnaby ,false        ,                ,      2701 ,-122.9749   ,[object Object]  ,1999800 ,       6 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     7405.2  ,false         ,false             ,                 ,CAD
      11 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314478413 ,    4388000 ,V5J2S8  ,        7 ,BC    ,CAN     ,SINGLE_FAMILY ,4568 McKee St           ,true               ,false      ,         1425300 ,49.210682 ,-1           ,Burnaby ,false        ,                ,      5529 ,-123.00147  ,[object Object]  ,4388000 ,       6 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     8712    ,false         ,false             ,                 ,CAD
      12 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314485458 ,    1999999 ,V5J4A1  ,        4 ,BC    ,CAN     ,SINGLE_FAMILY ,8076 Gray Ave           ,true               ,false      ,         1667500 ,49.210564 ,-1           ,Burnaby ,false        ,                ,      3584 ,-122.99865  ,[object Object]  ,1999999 ,       5 ,false            ,acres       ,false           ,false                   ,FOR_SALE   ,        0.36 ,false         ,false             ,                 ,CAD
      13 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347497175 ,    1699900 ,V5J1N6  ,        4 ,BC    ,CAN     ,MULTI_FAMILY  ,4339 Greta St           ,true               ,false      ,                 ,49.219242 ,-1           ,Burnaby ,false        ,                ,      1973 ,-123.01022  ,[object Object]  ,1699900 ,       3 ,false            ,sqft        ,false           ,false                   ,FOR_SALE   ,     3920.4  ,false         ,false             ,                 ,CAD
      14 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 314479526 ,    3999000 ,V5J3C9  ,       10 ,BC    ,CAN     ,SINGLE_FAMILY ,6056 Keith St           ,true               ,false      ,         1393700 ,49.20722  ,-1           ,Burnaby ,false        ,                ,      6614 ,-122.97551  ,[object Object]  ,3999000 ,       9 ,false            ,acres       ,false           ,false                   ,FOR_SALE   ,        0.27 ,false         ,false             ,                 ,CAD
