index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue   ,streetAddress            ,unit   ,bedrooms ,longitude  ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction     ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse     ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price  ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url , 338048069 ,2023-08-01   ,FALSE             ,               ,2349 Eagle St            ,       ,       3 ,-95.37065  ,         1074 ,          ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,BUILDER_SPEC        ,FALSE      ,  77004 ,29.728615 ,                   ,           62908 ,                 ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,            ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,424900 ,     424900 ,                ,      1778 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       2 ,listing_url , 161432042 ,2023-08-01   ,FALSE             ,               ,2020 McGowen St #O       ,# O    ,       3 ,-95.36553  ,         2696 ,   407900 ,            ,CONDO         ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.739313 ,                   ,          358000 ,                 ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,            ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,399000 ,     399000 ,                ,      2239 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       3 ,listing_url ,  28454629 ,2023-08-01   ,FALSE             ,               ,1701 Hermann Dr #21C     ,# 21C  ,       1 ,-95.38324  ,         2545 ,   279100 ,            ,CONDO         ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.718996 ,                   ,          284230 ,                 ,USA     ,FALSE                   ,        1 ,              ,FALSE           ,           ,            ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,503900 ,     503900 ,                ,      1212 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       4 ,listing_url ,  27758531 ,2023-08-01   ,FALSE             ,5749.92        ,2405 Rosalie St          ,       ,         ,-95.36398  ,         1410 ,          ,            ,LOT           ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.735315 ,                   ,          134375 ,                 ,USA     ,FALSE                   ,        0 ,              ,FALSE           ,         1 ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,356000 ,     356000 ,                ,           ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       5 ,listing_url ,  68426948 ,2023-08-01   ,FALSE             ,1695           ,3215 Jackson St          ,       ,       2 ,-95.37129  ,         2447 ,   320100 ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.73743  ,                   ,          287617 ,                 ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,325000 ,     325000 ,                ,      1832 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       6 ,listing_url , 123234151 ,2023-08-01   ,FALSE             ,2395.8         ,4703 Jackson St          ,       ,       3 ,-95.37843  ,         3849 ,   621600 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.72842  ,                   ,          508023 ,                 ,USA     ,FALSE                   ,        4 ,Sat. 12-3pm   ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,625000 ,     625000 ,[object Object] ,      2579 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       7 ,listing_url ,  27848640 ,2023-08-01   ,FALSE             ,5148.792       ,2628 Oakdale St          ,       ,       3 ,-95.372154 ,         1999 ,   316200 ,            ,SINGLE_FAMILY ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.718225 ,                   ,          285288 ,                 ,USA     ,FALSE                   ,        1 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,320000 ,     320000 ,                ,      1553 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       8 ,listing_url ,  27850636 ,2023-08-01   ,FALSE             ,5775           ,2618 Truxillo St         ,       ,       2 ,-95.36619  ,         1468 ,   343600 ,-29900      ,MULTI_FAMILY  ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.728445 ,"$29,900 (Aug 22)" ,          217210 ,1.69269E+12      ,USA     ,FALSE                   ,        1 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,315000 ,     315000 ,                ,      2046 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
       9 ,listing_url ,2057431838 ,2023-08-01   ,FALSE             ,1560           ,3006 Holman St           ,       ,       3 ,-95.36127  ,         2999 ,   438100 ,-10000      ,SINGLE_FAMILY ,FALSE        ,TX    ,BUILDER_SPEC        ,FALSE      ,  77004 ,29.729076 ,"$10,000 (Aug 22)" ,                 ,1.69269E+12      ,USA     ,FALSE                   ,        4 ,Sat. 1-3pm    ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,429900 ,     429900 ,[object Object] ,      1925 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      10 ,listing_url ,  58667887 ,2023-08-01   ,FALSE             ,1439           ,2707 Crawford St         ,       ,       3 ,-95.36943  ,         2981 ,   401300 ,-5000       ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.741236 ,"$5,000 (Aug 18)"  ,          435499 ,1.69234E+12      ,USA     ,FALSE                   ,        3 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,415000 ,     415000 ,                ,      2641 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      11 ,listing_url ,2076522786 ,2023-08-01   ,FALSE             ,1900           ,3220 Hutchins St #A      ,# A    ,       3 ,-95.36726  ,         1380 ,          ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.73508  ,                   ,                 ,                 ,USA     ,FALSE                   ,        4 ,Sat. 12-3pm   ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,494990 ,     494990 ,[object Object] ,      2175 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
      12 ,listing_url , 126314922 ,2023-08-01   ,FALSE             ,1775           ,3125 Arbor St            ,       ,       3 ,-95.36726  ,         2778 ,   403300 ,            ,TOWNHOUSE     ,FALSE        ,TX    ,                    ,FALSE      ,  77004 ,29.72026  ,                   ,          411885 ,                 ,USA     ,FALSE                   ,        4 ,              ,FALSE           ,           ,sqft        ,Houston ,FOR_SALE         ,USD      ,FOR_SALE   ,407000 ,     407000 ,                ,      2150 ,[object Object]  ,FALSE         ,FALSE            ,TRUE               ,-1
