index_id ,result_from ,zpid       ,creationDate ,isShowcaseListing ,lotAreaValue ,streetAddress             ,unit        ,bedrooms ,longitude   ,rentZestimate ,zestimate ,priceChange ,homeType      ,isUnmappable ,state ,newConstructionType ,isFeatured ,zipcode ,latitude  ,priceReduction ,taxAssessedValue ,datePriceChanged ,country ,isPreforeclosureAuction ,bathrooms ,openHouse  ,shouldHighlight ,videoCount ,lotAreaUnit ,city    ,homeStatusForHDP ,currency ,homeStatus ,price   ,priceForHDP ,open_house_info ,livingArea ,listing_sub_type ,isZillowOwned ,isPremierBuilder ,isNonOwnerOccupied ,daysOnZillow
       1 ,listing_url ,2060627948 ,2023-11-01   ,FALSE             ,     2178.0  ,6038 McKee St             ,            ,       4 ,-122.97542  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J2V5  ,49.21088  ,               ,                 ,                 ,CAN     ,False                   ,        3 ,Sat. 1-3pm ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1688000 ,    1688000 ,[object Object] ,      1848 ,[object Object]  ,False         ,False            ,True               ,-1
       2 ,listing_url ,2056322785 ,2023-11-01   ,FALSE             ,        0.0  ,8485 New Haven Clos #102  ,# 102       ,       4 ,-123.00864  ,              ,          ,            ,TOWNHOUSE     ,False        ,BC    ,                    ,False      ,V5J0B7  ,49.208324 ,               ,                 ,                 ,CAN     ,False                   ,        3 ,Sat. 2-4pm ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1198000 ,    1198000 ,[object Object] ,      1634 ,[object Object]  ,False         ,False            ,True               ,-1
       3 ,listing_url , 314478047 ,2023-11-01   ,FALSE             ,        0.36 ,7933 Suncrest Dr          ,            ,       2 ,-123.01462  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3N4  ,49.21212  ,               ,       1578400.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,acres       ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1988888 ,    1988888 ,                ,      2124 ,[object Object]  ,False         ,False            ,True               ,-1
       4 ,listing_url ,2054397915 ,2023-11-01   ,FALSE             ,        0.0  ,5771 Irmin St #16         ,# 16        ,       3 ,-122.97984  ,              ,          ,            ,TOWNHOUSE     ,False        ,BC    ,                    ,False      ,V5J0C5  ,49.2157   ,               ,                 ,                 ,CAN     ,False                   ,        3 ,Sat. 2-4pm ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1199999 ,    1199999 ,[object Object] ,      1342 ,[object Object]  ,False         ,False            ,True               ,-1
       5 ,listing_url , 314479216 ,2023-11-01   ,FALSE             ,     8276.4  ,4419 Marine Dr            ,            ,       5 ,-123.00446  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3G1  ,49.20934  ,               ,       1151900.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1650000 ,    1650000 ,                ,      2034 ,[object Object]  ,False         ,False            ,True               ,-1
       6 ,listing_url , 314478254 ,2023-11-01   ,FALSE             ,     6098.4  ,5696 Portland St          ,            ,       7 ,-122.98086  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J2R6  ,49.21182  ,               ,       1915000.0 ,                 ,CAN     ,False                   ,        5 ,Sat. 2-4pm ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,2558000 ,    2558000 ,[object Object] ,      3525 ,[object Object]  ,False         ,False            ,True               ,-1
       7 ,listing_url , 314489648 ,2023-11-01   ,FALSE             ,     6534.0  ,7798 Gilley Ave           ,            ,       6 ,-122.97155  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J4Y2  ,49.212936 ,               ,       1323000.0 ,                 ,CAN     ,False                   ,        3 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,        ,    1738000 ,                ,      2857 ,[object Object]  ,False         ,False            ,True               ,-1
       8 ,listing_url ,2055304398 ,2023-11-01   ,FALSE             ,        0.0  ,4250 Marine Dr #302       ,# 302       ,       2 ,-123.01069  ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J0B9  ,49.20883  ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 849000 ,     849000 ,                ,      1127 ,[object Object]  ,False         ,False            ,True               ,-1
       9 ,listing_url ,2056038059 ,2023-11-01   ,FALSE             ,        0.0  ,6105 Kingsway #203        ,# 203       ,       3 ,-122.97462  ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J5C7  ,49.220943 ,               ,                 ,                 ,CAN     ,False                   ,        1 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 669000 ,     669000 ,                ,       916 ,[object Object]  ,False         ,False            ,True               ,-1
      10 ,listing_url ,2062963533 ,2023-11-01   ,FALSE             ,        0.0  ,7470 Buller Ave #803      ,# 803       ,       4 ,-122.97601  ,              ,          ,            ,TOWNHOUSE     ,False        ,BC    ,                    ,False      ,V5J4S5  ,49.215996 ,               ,                 ,                 ,CAN     ,False                   ,        3 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1400000 ,    1400000 ,                ,      1824 ,[object Object]  ,False         ,False            ,True               ,-1
      11 ,listing_url , 314475788 ,2023-11-01   ,FALSE             ,     6534.0  ,3793 Peter St             ,            ,       3 ,-123.02115  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J1N5  ,49.219486 ,               ,       1213200.0 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,1699000 ,    1699000 ,                ,      2376 ,[object Object]  ,False         ,False            ,True               ,-1
      12 ,listing_url , 314486353 ,2023-11-01   ,FALSE             ,        0.47 ,7962 Nelson Ave           ,            ,       9 ,-122.99308  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J4E5  ,49.211433 ,               ,       1333400.0 ,                 ,CAN     ,False                   ,        5 ,           ,False           ,           ,acres       ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,2000000 ,    2000000 ,                ,      2672 ,[object Object]  ,False         ,False            ,True               ,-1
      13 ,listing_url ,2054922860 ,2023-11-01   ,FALSE             ,        0.0  ,7231 Antrim Ave #207      ,# 207       ,       2 ,-122.985634 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J5H5  ,49.218224 ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 739000 ,     739000 ,                ,      1088 ,[object Object]  ,False         ,False            ,True               ,-1
      14 ,listing_url ,2055029691 ,2023-11-01   ,FALSE             ,        0.0  ,5375 Victory St #107      ,# 107       ,       1 ,-122.986084 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J1T2  ,49.21876  ,               ,                 ,                 ,CAN     ,False                   ,        1 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 569000 ,     569000 ,                ,       780 ,[object Object]  ,False         ,False            ,True               ,-1
      15 ,listing_url ,2054583099 ,2023-11-01   ,FALSE             ,        0.0  ,6283 Kingsway #103        ,# 103       ,       2 ,-122.972786 ,              ,          ,            ,CONDO         ,False        ,BC    ,                    ,False      ,V5J0H3  ,49.22038  ,               ,                 ,                 ,CAN     ,False                   ,        2 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   , 699900 ,     699900 ,                ,       791 ,[object Object]  ,False         ,False            ,True               ,-1
      16 ,listing_url , 314479256 ,2023-11-01   ,FALSE             ,     8712.0  ,4683 Marine Dr            ,            ,       6 ,-122.99842  ,              ,          ,            ,SINGLE_FAMILY ,False        ,BC    ,                    ,False      ,V5J3G4  ,49.20801  ,               ,       1440000.0 ,                 ,CAN     ,False                   ,        6 ,           ,False           ,           ,sqft        ,Burnaby ,FOR_SALE         ,CAD      ,FOR_SALE   ,2889000 ,    2889000 ,                ,      4089 ,[object Object]  ,False         ,False            ,True               ,-1
