index_id ,result_from ,creationDate ,daysOnZillow ,isPreforeclosureAuction ,lotAreaValue            ,latitude  ,livingArea ,streetAddress         ,shouldHighlight ,isNonOwnerOccupied ,longitude  ,price   ,isFeatured ,priceChange ,listing_sub_type ,rentZestimate ,newConstructionType ,homeStatusForHDP ,zpid      ,currency ,isUnmappable ,isShowcaseListing ,bathrooms ,open_house_info ,priceReduction      ,state ,homeStatus ,openHouse   ,bedrooms ,taxAssessedValue ,city     ,zipcode ,isPremierBuilder ,lotAreaUnit ,priceForHDP ,homeType      ,country ,datePriceChanged ,isZillowOwned ,zestimate ,timeOnZillow
       1 ,listing_url ,2024-04-30   ,           0 ,false                   , 3885.552               ,29.70027  ,      4018 ,5402 Alder Cir        ,false           ,true               ,-95.480774 , 928000 ,false      ,            ,[object Object]  ,         5677 ,                    ,FOR_SALE         ,123239047 ,USD      ,false        ,false             ,        4 ,                ,                    ,TX    ,FOR_SALE   ,            ,       3 ,          967515 ,Bellaire ,  77401 ,false            ,sqft        ,     928000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   934500 ,    28801000
       2 ,listing_url ,2024-04-30   ,           0 ,false                   , 8219.772               ,29.69959  ,      5758 ,5310 Grand Lake St    ,false           ,true               ,-95.47315  ,1699000 ,false      ,            ,[object Object]  ,        10428 ,                    ,FOR_SALE         , 27929969 ,USD      ,false        ,false             ,        7 ,[object Object] ,                    ,TX    ,FOR_SALE   ,Wed. 12-2pm ,       4 ,         1521785 ,Bellaire ,  77401 ,false            ,sqft        ,    1699000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1723400 ,    25982000
       3 ,listing_url ,2024-04-30   ,           5 ,false                   , 6124.536               ,29.703894 ,      1961 ,4411 Ione St          ,false           ,true               ,-95.45028  , 675000 ,false      ,            ,[object Object]  ,         2729 ,                    ,FOR_SALE         , 27835954 ,USD      ,false        ,false             ,        2 ,[object Object] ,                    ,TX    ,FOR_SALE   ,Sun. 1-3pm  ,       3 ,          485096 ,Bellaire ,  77401 ,false            ,sqft        ,     675000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   687600 ,   439332000
       4 ,listing_url ,2024-04-30   ,           4 ,false                   , 6420.744               ,29.711105 ,      2079 ,4612 Beech St         ,false           ,true               ,-95.456894 , 650000 ,false      ,            ,[object Object]  ,         3745 ,                    ,FOR_SALE         , 27917026 ,USD      ,false        ,false             ,        3 ,                ,                    ,TX    ,FOR_SALE   ,            ,       4 ,          626865 ,Bellaire ,  77401 ,false            ,sqft        ,     650000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,   656600 ,   422871000
       5 ,listing_url ,2024-04-30   ,           2 ,false                   ,    0.47000000000000003 ,29.693802 ,      3326 ,5422 Valerie St       ,false           ,true               ,-95.48425  , 999995 ,false      ,-5          ,[object Object]  ,         5373 ,                    ,FOR_SALE         , 27877815 ,USD      ,false        ,false             ,        3 ,                ,$5 (Apr 29)         ,TX    ,FOR_SALE   ,            ,       4 ,          665000 ,Bellaire ,  77401 ,false            ,acres       ,     999995 ,SINGLE_FAMILY ,USA     ,   1714374000000 ,false         ,   904400 ,   197305000
       6 ,listing_url ,2024-04-30   ,          18 ,false                   , 2256                   ,29.719393 ,      2251 ,102 Phanturn Ln       ,false           ,true               ,-95.451775 , 410000 ,false      ,-9900       ,[object Object]  ,         3170 ,                    ,FOR_SALE         , 28173281 ,USD      ,false        ,false             ,        3 ,                ,"$9,900 (Apr 19)"   ,TX    ,FOR_SALE   ,            ,       4 ,          410038 ,Bellaire ,  77401 ,false            ,sqft        ,     410000 ,TOWNHOUSE     ,USA     ,   1713510000000 ,false         ,   391800 ,  1561059000
       7 ,listing_url ,2024-04-30   ,          59 ,false                   , 9099.684               ,29.692738 ,      6398 ,4911 Holly St         ,false           ,true               ,-95.46431  ,1799000 ,false      ,-50000      ,[object Object]  ,        10323 ,                    ,FOR_SALE         , 27947865 ,USD      ,false        ,false             ,        6 ,                ,"$50,000 (Mar 13)"  ,TX    ,FOR_SALE   ,            ,       4 ,         2109716 ,Bellaire ,  77401 ,false            ,sqft        ,    1799000 ,SINGLE_FAMILY ,USA     ,   1710313200000 ,false         ,  1681800 ,  5172224000
       8 ,listing_url ,2024-04-30   ,          12 ,false                   ,    0.2639              ,29.701122 ,      5288 ,4601 Oleander St      ,false           ,true               ,-95.45571  ,2590000 ,false      ,            ,[object Object]  ,        10336 ,                    ,FOR_SALE         , 27918290 ,USD      ,false        ,false             ,        7 ,                ,                    ,TX    ,FOR_SALE   ,            ,       6 ,         1761683 ,Bellaire ,  77401 ,false            ,acres       ,    2590000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  2509200 ,  1041311000
       9 ,listing_url ,2024-04-30   ,          61 ,false                   ,    0.6061              ,29.701864 ,     13076 ,4616 Oleander St      ,false           ,true               ,-95.45794  ,5600000 ,false      ,-900000     ,[object Object]  ,        38785 ,                    ,FOR_SALE         , 27786809 ,USD      ,false        ,false             ,       10 ,                ,"$900,000 (Apr 10)" ,TX    ,FOR_SALE   ,            ,       5 ,         4750000 ,Bellaire ,  77401 ,false            ,acres       ,    5600000 ,SINGLE_FAMILY ,USA     ,   1712732400000 ,false         ,  5124600 ,  5335974000
      10 ,listing_url ,2024-04-30   ,          11 ,false                   , 6220.368               ,29.697515 ,      5144 ,5103 Patrick Henry St ,false           ,true               ,-95.46826  ,1290000 ,false      ,            ,[object Object]  ,         7396 ,                    ,FOR_SALE         , 27930163 ,USD      ,false        ,false             ,        5 ,                ,                    ,TX    ,FOR_SALE   ,            ,       5 ,         1108786 ,Bellaire ,  77401 ,false            ,sqft        ,    1290000 ,SINGLE_FAMILY ,USA     ,                 ,false         ,  1271300 ,  1034105000
