index_id ,result_from ,creationDate ,unit   ,homeStatusForHDP ,zpid       ,priceForHDP ,zipcode ,bathrooms ,state ,country ,homeType      ,streetAddress           ,isNonOwnerOccupied ,isFeatured ,latitude  ,daysOnZillow ,city    ,isUnmappable ,open_house_info ,isPremierBuilder ,longitude  ,listing_sub_type ,price  ,bedrooms ,lotAreaUnit ,livingArea ,shouldHighlight ,isPreforeclosureAuction ,homeStatus ,lotAreaValue       ,isZillowOwned ,isShowcaseListing ,openHouse  ,currency
       1 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 347942941 ,     299999 ,N9B3N7  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,1615 Curry Ave          ,true               ,false      ,42.29288  ,-1           ,Windsor ,false        ,                ,false            ,-83.04454  ,[object Object]  ,299999 ,       3 ,acres       ,           ,false           ,false                   ,FOR_SALE   ,   0.27            ,false         ,false             ,           ,CAD
       2 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348803571 ,     599500 ,N9B3L1  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1656 Saint Clair Ave    ,true               ,false      ,42.28848  ,-1           ,Windsor ,false        ,[object Object] ,false            ,-83.053604 ,[object Object]  ,599500 ,       3 ,            ,      1414 ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,Sun. 1-3pm ,CAD
       3 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2067468802 ,     599000 ,N9B3J6  ,        4 ,ON    ,CAN     ,SINGLE_FAMILY ,1980 Longfellow Ave     ,true               ,false      ,42.286095 ,-1           ,Windsor ,false        ,                ,false            ,-83.035545 ,[object Object]  ,599000 ,       5 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
       4 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348404210 ,     299900 ,N9B2Y7  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,352 California Ave      ,true               ,false      ,42.308205 ,-1           ,Windsor ,false        ,                ,false            ,-83.06536  ,[object Object]  ,299900 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
       5 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2060824900 ,     449900 ,N9B2R5  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,126 Rankin Ave          ,true               ,false      ,42.31249  ,-1           ,Windsor ,false        ,                ,false            ,-83.06372  ,[object Object]  ,449900 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
       6 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2058213776 ,     349900 ,N9B1Z5  ,        3 ,ON    ,CAN     ,SINGLE_FAMILY ,347 Curry Ave           ,true               ,false      ,42.3114   ,-1           ,Windsor ,false        ,                ,false            ,-83.0562   ,[object Object]  ,349900 ,       6 ,sqft        ,           ,false           ,false                   ,FOR_SALE   ,3746.16            ,false         ,false             ,           ,CAD
       7 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2055912621 ,     279000 ,N9B2A6  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,1025 McKay Ave          ,true               ,false      ,42.30188  ,-1           ,Windsor ,false        ,                ,false            ,-83.048935 ,[object Object]  ,279000 ,       3 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
       8 ,listing_url ,2024-04-30   ,       ,FOR_SALE         ,2056010396 ,     299262 ,N9B2P4  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,1262 Partington Ave     ,true               ,false      ,42.296627 ,-1           ,Windsor ,false        ,                ,false            ,-83.05237  ,[object Object]  ,299262 ,       4 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
       9 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348418953 ,     689900 ,N9B3S2  ,        2 ,ON    ,CAN     ,SINGLE_FAMILY ,1530 Askin Ave          ,true               ,false      ,42.290802 ,-1           ,Windsor ,false        ,                ,false            ,-83.05283  ,[object Object]  ,689900 ,       3 ,            ,      1970 ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
      10 ,listing_url ,2024-04-30   ,       ,FOR_SALE         , 348530159 ,     299888 ,N9B2P1  ,        1 ,ON    ,CAN     ,SINGLE_FAMILY ,1025 Partington Ave     ,true               ,false      ,42.299706 ,-1           ,Windsor ,false        ,                ,false            ,-83.05503  ,[object Object]  ,299888 ,       2 ,            ,           ,false           ,false                   ,FOR_SALE   ,                   ,false         ,false             ,           ,CAD
