zpid       ,streetAddress       ,unit ,bedrooms ,bathrooms ,homeType      ,priceChange ,zipcode ,city    ,state ,country ,livingArea ,taxAssessedValue ,priceReduction ,datePriceChanged ,homeStatus ,price  ,currency
 347741185 ,445 Bridge Ave      ,     ,       7 ,        2 ,SINGLE_FAMILY ,            ,N9B2M3  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,499900 ,CAD
2064302558 ,194 Bridge Ave      ,     ,       5 ,        2 ,SINGLE_FAMILY ,            ,N9B2M2  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,299900 ,CAD
 347563003 ,1119 Josephine Ave  ,     ,       4 ,        2 ,SINGLE_FAMILY ,            ,N9B2L6  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,349900 ,CAD
2056507110 ,215 Curry Ave       ,     ,       4 ,        3 ,SINGLE_FAMILY ,            ,N9B2B4  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,569000 ,CAD
 347521193 ,1930 Dominion Blvd  ,     ,       4 ,        2 ,SINGLE_FAMILY ,            ,N9B3H9  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,479888 ,CAD
 347636995 ,528 California Ave  ,     ,       9 ,        3 ,SINGLE_FAMILY ,            ,N9B2Y9  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,999900 ,CAD
 347399356 ,915 Randolph Ave    ,     ,       4 ,        2 ,SINGLE_FAMILY ,            ,N9B2V1  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,299900 ,CAD
2064329093 ,1251 McKay Ave      ,     ,       6 ,        3 ,SINGLE_FAMILY ,            ,N9B2A8  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,549000 ,CAD
 347327647 ,449 Curry Ave       ,     ,       4 ,        2 ,SINGLE_FAMILY ,            ,N9B2B8  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,299888 ,CAD
 347636176 ,1731 California Ave ,     ,       4 ,        4 ,SINGLE_FAMILY ,            ,N9B3T5  ,Windsor ,ON    ,CAN     ,           ,                 ,               ,""               ,FOR_SALE   ,739999 ,CAD
